"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Prince Edward Island","2016A000211","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891053","3.1.4","16.6","","","","1"
"2017","Nova Scotia","2016A000212","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891054","4.1.1","129.7","","","","1"
"2017","Nova Scotia","2016A000212","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891055","4.1.2","106.6","","","","1"
"2017","Nova Scotia","2016A000212","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891056","4.1.3","23.8","","","","1"
"2017","Nova Scotia","2016A000212","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891057","4.1.4","17.8","","","","1"
"2017","New Brunswick","2016A000213","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891058","5.1.1","138.6","","","","1"
"2017","New Brunswick","2016A000213","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891059","5.1.2","117.0","","","","1"
"2017","New Brunswick","2016A000213","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891060","5.1.3","21.8","","","","1"
"2017","New Brunswick","2016A000213","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891061","5.1.4","15.6","","","","1"
"2017","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891062","6.1.1","1340.6","","","","1"
"2017","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891063","6.1.2","1240.3","","","","1"
"2017","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891064","6.1.3","234.7","","","","1"
"2017","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891065","6.1.4","7.5","","","","1"
"2017","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891066","7.1.1","2669.0","","","","1"
"2017","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891067","7.1.2","2274.5","","","","1"
"2017","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891068","7.1.3","439.9","","","","1"
"2017","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891069","7.1.4","14.8","","","","1"
"2017","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891070","8.1.1","139.8","","","","1"
"2017","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891071","8.1.2","115.5","","","","1"
"2017","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891072","8.1.3","22.7","","","","1"
"2017","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891073","8.1.4","17.4","","","","1"
"2017","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891074","9.1.1","122.2","","","","1"
"2017","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891075","9.1.2","104.7","","","","1"
"2017","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891076","9.1.3","17.8","","","","1"
"2017","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891077","9.1.4","14.3","","","","1"
"2017","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891078","10.1.1","1233.2","","","","1"
"2017","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891079","10.1.2","1085.1","","","","1"
"2017","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891080","10.1.3","206.0","","","","1"
"2017","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891081","10.1.4","12.0","","","","1"
"2017","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891082","11.1.1","979.3","","","","1"
"2017","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891083","11.1.2","865.6","","","","1"
"2017","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891084","11.1.3","147.3","","","","1"
"2017","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891085","11.1.4","11.6","","","","1"
"2017","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891086","12.1.1","13.9","","","","1"
"2017","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891087","12.1.2","13.4","","","","1"
"2017","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891088","12.1.3","","x","","","1"
"2017","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891089","12.1.4","3.4","","","","1"
"2017","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891090","13.1.1","4.0","","","","1"
"2017","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891091","13.1.2","4.1","","","","1"
